Pairs,SMILES - Molecule A,SMILES - Molecule B,YES %
76a,CCC1C2=CC(OC)=C(OC)C=C2C(=NN=C1C)C1=CC(OC)=C(OC)C=C1,CC(C1=C(CCN(C)C)CC2=CC=CC=C12)C1=CC=CC=N1,6.25
77a,CC(CN(C)C)CN1C2=CC=CC=C2SC2=CC=CC=C12,COC1=CC2=C(SC3=C(C=CC=C3)N2C[C@H](C)CN(C)C)C=C1,91.41
78a,C[C@@H]1CC(=O)NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1,O[C@@H](CNCCCCC1=CC=C(O)C=C1)C1=CC(O)=C(O)C=C1,3.13
79a,CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1,CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1,3.91
80a,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,99.21
81a,[Br-].C[N+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(O)C1=CC=CC=C1,CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O,2.34
82a,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,CC1=CN([C@@H]2C[C@@H](O)[C@H](CO)O2)C(=O)NC1=O,85.94
83a,COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(F)=C1N1C[C@@H]2CCCN[C@@H]2C1)C1CC1,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1,55.91
84a,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,CCC[C@@H](C)C1(CC=C)C(=O)NC(=O)NC1=O,91.41
85a,NCCCC[C@H](N)C(O)=O,NCCC[C@H](N)C(O)=O,93.75
86a,CC(CNC1CCCCC1)OC(=O)C1=CC=CC=C1,N[C@@H](CCCNC(N)=O)C(O)=O,2.36
87a,C[C@](N)(CC1=CC(O)=C(O)C=C1)C(O)=O,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,85.04
88a,N[C@@H](CCC(N)=O)C(O)=O,NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,3.15
89a,CCC(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(CCO)CC2)C=C1,CC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1,97.64
90a,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,CCNC1CC(C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,0.79
91a,CN1C2=C(C=C(C=C2)[N+]([O-])=O)C(=NCC1=O)C1=CC=CC=C1F,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,86.61
92a,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,92.97
93a,CC1(C)SC2C(NC(=O)C(N=[N+]=[N-])C3=CC=CC=C3)C(=O)N2C1C(O)=O,CC(CNC1CCCCC1)OC(=O)C1=CC=CC=C1,1.56
94a,CC1=CC(OCC(O)CNC(C)(C)C)=C(Cl)C=C1,CC(C)(C)NCC(O)COC1=CC=CC2=C1C[C@H](O)[C@H](O)C2,46.09
95a,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,5.51
96a,CCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CCl,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12,34.13
97a,C[C@H](N)[C@H](O)C1=CC(O)=C(O)C=C1,C[C@@H](N)[C@@H](O)C1=CC=CC=C1,74.8
98a,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1.59
99a,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,67.72
100a,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(C)=O)C(=O)COC(C)=O,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,76.38
